No.,Time,Source,Destination,Protocol,Length,Info
1,0,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.236.134? Tell 172.18.232.10
2,0,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.235.33? Tell 172.18.232.10
3,0,172.18.234.6,172.18.239.255,UDP,180,34792  >  58581 Len=138
4,0,104.26.11.240,172.18.238.180,TCP,1078,443  >  50154 [ACK] Seq=1 Ack=1 Win=67 Len=1024 [TCP segment of a reassembled PDU]
5,0.000129,172.18.238.180,104.26.11.240,TCP,66,50154  >  443 [ACK] Seq=1 Ack=1025 Win=1020 Len=0 SLE=1399 SRE=2011
6,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.0? Tell 172.18.237.67
7,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.2? Tell 172.18.237.67
8,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.3? Tell 172.18.237.67
9,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.4? Tell 172.18.237.67
10,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.5? Tell 172.18.237.67
11,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.6? Tell 172.18.237.67
12,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.7? Tell 172.18.237.67
13,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.8? Tell 172.18.237.67
14,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.9? Tell 172.18.237.67
15,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.11? Tell 172.18.237.67
16,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.12? Tell 172.18.237.67
17,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.13? Tell 172.18.237.67
18,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.14? Tell 172.18.237.67
19,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.15? Tell 172.18.237.67
20,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.16? Tell 172.18.237.67
21,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.17? Tell 172.18.237.67
22,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.19? Tell 172.18.237.67
23,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.20? Tell 172.18.237.67
24,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.21? Tell 172.18.237.67
25,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.22? Tell 172.18.237.67
26,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.23? Tell 172.18.237.67
27,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.24? Tell 172.18.237.67
28,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.25? Tell 172.18.237.67
29,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.28? Tell 172.18.237.67
30,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.29? Tell 172.18.237.67
31,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.30? Tell 172.18.237.67
32,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.32? Tell 172.18.237.67
33,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.33? Tell 172.18.237.67
34,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.34? Tell 172.18.237.67
35,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.35? Tell 172.18.237.67
36,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.37? Tell 172.18.237.67
37,0.207241,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.38? Tell 172.18.237.67
38,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.42? Tell 172.18.237.67
39,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.44? Tell 172.18.237.67
40,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.47? Tell 172.18.237.67
41,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.48? Tell 172.18.237.67
42,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.50? Tell 172.18.237.67
43,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.52? Tell 172.18.237.67
44,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.53? Tell 172.18.237.67
45,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.60? Tell 172.18.237.67
46,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.62? Tell 172.18.237.67
47,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.64? Tell 172.18.237.67
48,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.67? Tell 172.18.237.67
49,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.68? Tell 172.18.237.67
50,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.74? Tell 172.18.237.67
51,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.76? Tell 172.18.237.67
52,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.78? Tell 172.18.237.67
53,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.80? Tell 172.18.237.67
54,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.82? Tell 172.18.237.67
55,0.207376,IntelCor_90:ef:70,Broadcast,ARP,60,Who has 172.18.232.83? Tell 172.18.237.67
56,0.408307,172.18.233.59,172.18.239.255,UDP,180,59873  >  58581 Len=138
57,0.408307,Guangdon_0a:2b:4b,Broadcast,ARP,60,Who has 172.18.237.67? Tell 172.18.233.69
58,0.408307,SamsungE_7c:5c:ca,Broadcast,ARP,60,Who has 172.18.232.1? Tell 172.18.233.59
59,0.408307,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.232.34? Tell 172.18.232.10
60,0.408307,Tecnomen_65:b7:9e,Broadcast,ARP,60,Who has 172.18.239.217? Tell 172.18.232.10
61,0.408307,IntelCor_a0:f8:75,Broadcast,ARP,60,Who has 172.18.234.177? Tell 172.18.234.220
62,0.618103,172.18.234.13,172.18.239.255,UDP,82,63484  >  1947 Len=40
